tOAAm,xOAAm,yOAAm
20.93,-0.0385295,0.2920233
20.97,-0.0298231,0.2920233
21.03,-0.0245993,0.2920233
21.07,-0.0176342,0.2920233
21.13,-0.0124104,0.2920233
21.20,-0.0106691,0.2920233
21.23,-0.0071866,0.2920233
21.27,-0.0037040,0.2920233
21.30,-0.0019627,0.2920233
21.33,-0.0019627,0.2920233
21.37,0.0050023,0.2920233
21.40,0.0189325,0.2920233
21.43,0.0258976,0.2920233
21.47,0.0241563,0.2920233
21.50,0.0189325,0.2920233
21.53,0.0189325,0.2920233
21.57,0.0293802,0.2937646
21.60,0.0293802,0.2937646
21.63,0.0241563,0.2937646
21.67,0.0206738,0.2937646
21.70,0.0137087,0.2937646
21.73,0.0084849,0.2955058
21.77,0.0032611,0.2972471
21.80,-0.0002215,0.2972471
